Generator,p_nom_max,weight,p_nom,capital_cost,efficiency,p_nom_min,marginal_cost,bus,carrier,p_nom_extendable,control,p_nom_opt,type,p_min_pu,p_max_pu,p_set,q_set,sign,marginal_cost_quadratic,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
BO0 0 OCGT,inf,0.0,49.25,47234.561404444474,0.39,49.25,58.38461538461539,BO0 0,OCGT,True,Slack,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 0 biomass,inf,0.0,4.94,278015.3595060446,0.468,4.94,14.957264957264956,BO0 0,biomass,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 0 oil,inf,0.0,11.74,38234.561404444474,0.3929999999999999,11.74,130.22646310432566,BO0 0,oil,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 0 onwind,1014900.6446328608,43694.17716336292,0.0,109295.56925155563,1.0,0.0,0.015,BO0 0,onwind,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 0 ror,inf,213.05999999999997,213.05999999999997,270940.71528261504,0.8999999999999999,0.0,0.0,BO0 0,ror,False,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 0 solar,761140.7809646911,127707.98226521772,50.2,50855.95826697842,1.0,50.2,0.01,BO0 0,solar,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 1 CCGT,inf,0.0,396.77,84469.12280888893,0.5,396.77,47.20000000000001,BO0 1,CCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 1 OCGT,inf,0.0,496.05000000000007,47234.561404444474,0.39,496.05000000000007,58.38461538461539,BO0 1,OCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 1 onwind,106866.63022938877,2655.7186613736767,26.54,109295.56925155563,1.0,26.54,0.015000000000000003,BO0 1,onwind,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 1 ror,inf,130.42999999999998,130.42999999999998,270940.71528261504,0.9,0.0,0.0,BO0 1,ror,False,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 1 solar,84358.81390498203,13366.414904384133,0.0,50855.95826697842,1.0,0.0,0.009999999999999998,BO0 1,solar,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 2 CCGT,inf,0.0,454.3,84469.12280888895,0.5,454.3,47.199999999999996,BO0 2,CCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 2 OCGT,inf,0.0,34.49999999999999,47234.561404444474,0.39,34.49999999999999,58.38461538461538,BO0 2,OCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 2 onwind,667003.8780659079,44390.49509077636,0.0,109295.56925155563,1.0,0.0,0.015,BO0 2,onwind,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 2 ror,inf,19.04,19.04,270940.71528261504,0.9,0.0,0.0,BO0 2,ror,False,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 2 solar,801963.1013999775,158543.9675072427,64.7,50855.95826697842,1.0,64.7,0.01,BO0 2,solar,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 3 CCGT,inf,0.0,512.92,84469.12280888895,0.5,512.92,47.199999999999996,BO0 3,CCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 3 OCGT,inf,0.0,369.12,47234.561404444474,0.39,369.12,58.38461538461539,BO0 3,OCGT,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 3 biomass,inf,0.0,50.64,278015.3595060446,0.468,50.64,14.957264957264956,BO0 3,biomass,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 3 onwind,586798.2334750496,69585.37538866224,0.0,109295.56925155561,1.0,0.0,0.015,BO0 3,onwind,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BO0 3 solar,222058.47513636132,31136.690280318548,0.0,50855.95826697841,1.0,0.0,0.01,BO0 3,solar,True,,,,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,False,0.0,0.0,0,0,1,0,,,1.0,1.0
